"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"VALUE";
"7";"";"FERITTE-CHIP-BEAD";"R805";"FB1, FB2, FB3, FB4, FB5, FB6, FB7";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0,33uF/100V";"C-EUC1206";"C1206";"C56";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"0R";"R-EU_R0603";"R0603";"R63, R65";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"0R";"R-EU_R1206";"R1206";"R19, R21, R22";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1000uF/50V";"CPOL-EUE5-13";"E5-13";"C37";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"6";"100R";"R-EU_R0603";"R0603";"R6, R14, R36, R52, R54, R56";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"100k";"R-EU_R0603";"R0603";"R7, R55";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"36";"100nF";"C-EUC0603";"C0603";"C1, C2, C3, C4, C5, C6, C9, C10, C12, C13, C14, C17, C18, C20, C21, C23, C24, C26, C28, C29, C30, C34, C35, C36, C39, C40, C41, C42, C43, C46, C47, C48, C49, C54, C55, C57";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"100uF/16V lowESR";"CPOL-EUD/7343-31R";"D/7343-31R";"C22, C25";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"25";"10k";"R-EU_R0603";"R0603";"R1, R4, R10, R11, R17, R18, R28, R29, R31, R42, R43, R45, R51, R57, R58, R59, R60, R61, R62, R66, R67, R68, R69, R70, R71";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF/100V";"C-EUC0603";"C0603";"C32";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10nF/50V";"C-EUC0603";"C0603";"C44";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF";"CPOL-EUC/6032-28R";"C/6032-28R";"C11";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"10uF, GRM21BC81E106KE5L";"C-EUC0805";"C0805";"C27";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"10uF/16V";"CPOL-EUC/6032-28R";"C/6032-28R";"C33, C45";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"12,5pF";"C-EUC0603";"C0603";"C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"12MHz";"CRYSTALCTS406";"CTS406";"Q1";"CRYSTAL";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"15µH 5A";"WE-PD_L/XL/XXL";"WE-PD_L/XL/XXL";"L1";"SMD-Shielded Power Inductors WE-PD";"";"";"";"";"";"";"";"";"";"";"";
"4";"18pF";"C-EUC0603";"C0603";"C15, C16, C52, C53";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"3";"1K5";"R-EU_R0603";"R0603";"R41, R47, R48";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"1k";"R-EU_R0603";"R0603";"R8, R12";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1k2";"R-EU_R0603";"R0603";"R64";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"1uF/16V";"CPOL-EUA/3216-18R";"A/3216-18R";"C38";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"2,2uF";"CPOL-EUCT3216";"CT3216";"C50, C51";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2,32k";"R-EU_R0603";"R0603";"R23";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"220R";"R-EU_R0603";"R0603";"R15";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"220pF";"C-EUC0603";"C0603";"C58, C59";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"220uF/35V";"CPOL-EU150CLZ-0810";"150CLZ-0810";"C19";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"24AA025E48";"24AA01SM";"SO-08M";"IC3";"Serial EEPROM";"";"";"MICROCHIP";"";"24AA01-I/SN";"1331268";"92C6793";"";"";"";"";
"1";"25MHz";"CRYSTALCTS406";"CTS406";"Q3";"CRYSTAL";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"2";"270R";"R-EU_R0603";"R0603";"R32, R33";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"2A";"RXEF0252";"RXEF025-2";"F1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2KBP02M";"2KBP";"2KBP";"B1";"RECTIFIER";"";"";"";"";"";"";"";"";"";"";"";
"2";"2k2";"R-EU_R0603";"R0603";"R5, R44";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"32.768kHz";"CRYSTALS-NOGND-CFPX-217";"3.2X1.5-2-PAD";"Q2";"CRYSTALS CAN NOT GROUNDED";"";"";"";"";"";"";"";"";"";"";"";
"3";"330R";"R-EU_R0603";"R0603";"R9, R20, R30";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"33R";"R-EU_R0603";"R0603";"R34, R35";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"4,7µF lowESR 50V";"CPOL-EUD/7343-31R";"D/7343-31R";"C31";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"5";"470R";"R-EU_R0603";"R0603";"R13, R16, R40, R49, R50";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"47346-0001";"47346-0001";"MOLEX_47346-0001";"ST9";"CONN RCPT 5POS MICRO USB R/A  SMD";"Good";"Micro-USB%20B%20Receptacle%20with%20Flange%2C%20Bottom%20Mount%2C%20SMT%2C%20Lead-Free";"Molex";"47346-0001";"";"";"";"None";"0.54 USD";"";"";
"1";"47k";"R-EU_R0603";"R0603";"R2";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"4";"49R9";"R-EU_R0603";"R0603";"R24, R25, R26, R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"4k7";"R-EU_R0603";"R0603";"R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"1";"52745-2090";"52745-2090";"52745-2090";"ST8";"FFC/FPC-to-Board  0.50mm (.020") SMT Top Contact";"";"";"WALDOM/MOLEX";"";"52745-2090";"unknown";"38C9891";"";"";"";"";
"2";"6A,10N";"DSS6NZ82A103";"T-FILTERSIL";"LCL1, LCL2";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"74HC14D";"74HC14D";"SO14";"IC10, IC12, IC13";"Hex schmitt trigger INVERTER";"";"";"";"";"";"";"";"";"";"";"";
"1";"7824DT";"7824DT";"TO252";"IC6";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"820";"R-EU_R0603";"R0603";"R46";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";
"2";"AC/DC";"PINHD-1X2";"1X02";"JP5, JP6";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAT54";"BAT54";"SOT23";"D1";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAT54A";"BAT54A";"SOT23";"D17";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAT54C";"BAT54C";"SOT23";"D16";"Schottky Diodes";"";"";"";"";"";"";"";"";"";"";"";
"1";"BAV99";"BAV99";"SOT23";"D7";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"BC846";"BC846";"SOT23";"T1";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"BC846";"BC846-NPN-SOT23-BEC";"SOT23-BEC";"T2";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"";
"1";"BLV";"PINHD-1X2";"1X02";"JP11";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"BZV50C5V6";"ZENER-DIODESOD80C";"SOD80C";"D3";"Z-Diode";"";"";"";"";"";"";"";"";"";"";"";
"1";"Boot0";"PINHD-1X2";"1X02";"JP7";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Boot1";"PINHD-1X2";"1X02";"JP9";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"CH291-1220LF";"CH291-1220LF";"CH291-1220LF";"BAT1";"Battery Holder, SMT, 12mm";"";"";"";"";"";"";"";"";"";"";"";
"1";"CMI-9655S-SMT";"KTG0905CL";"KTG0905CL";"BZ1";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"COM2";"JST-EH5";"JST-EH5";"ST11";"Einbau-Stecker Fa. JST Typ EH 5pol, RM 2.5mm";"";"";"";"";"";"";"";"";"";"";"";
"1";"COM3";"JST-EH5";"JST-EH5";"ST10";"Einbau-Stecker Fa. JST Typ EH 5pol, RM 2.5mm";"";"";"";"";"";"";"";"";"";"";"";
"1";"COM4";"JST-EH5";"JST-EH5";"ST13";"Einbau-Stecker Fa. JST Typ EH 5pol, RM 2.5mm";"";"";"";"";"";"";"";"";"";"";"";
"1";"DM3AT-SF-PEJM5";"DM3AT-SF-PEJM5";"HRS_DM3AT-SF-PEJM5";"SD1";"DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector";"Good";"DM3%20Series%208%20Position%20Right%20Angle%20SMT%20Push%20Push%20Ejection%20MicroSD%20Card%20Connector";"Hirose";"DM3AT-SF-PEJM5";"";"";"";"None";"1.97 USD";"";"";
"1";"EN28J60SS";"EN28J60SS";"SSOP28";"IC4";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Extern 1";"PINHD-2X8";"2X08";"ST12";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Extern 2";"PINHD-2X8";"2X08";"ST14";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"FID1, FID2";"Fiducial Alignment Points";"";"";"";"";"";"";"";"";"";"";"";
"3";"G6K-2F";"G6K-2F";"G6K-2F";"K1, K2, K3";"Low Signal Relay";"";"";"OMRON COMPONENTS USA";"";"G6K-2F DC24";"1690427";"36K7467";"";"";"";"";
"3";"HCPL0600";"HCPL0600";"SOIC08";"OK1, OK2, OK3";"HEWLETT PACKARD OPTO COUPLER";"";"";"AGILENT TECHNOLOGIES";"";"HCPL-0600-000E";"9994696";"88H7774";"";"";"";"";
"1";"HOST";"180G-4";"180G-4";"ST6";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"Inputs";"180G-6";"180G-6";"ST5";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"J1011F01P";"J1011F01P";"J1";"ST7";"PULSEJACK (TM) 1x1 Tab-UP RJ45";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"LDR0";"PINHD-1X2";"1X02";"JP8";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"LDR1";"PINHD-1X2";"1X02";"JP10";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED +24V";"LEDCHIPLED_0603";"CHIPLED_0603";"LED5";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED +5V";"LEDCHIPLED_0603";"CHIPLED_0603";"LED4";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"LED_+3V3";"LEDCHIPLED_0603";"CHIPLED_0603";"LED3";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM2267TJ-ADJ";"LM22678";"TO263-7";"IC8";"LM22678-ADJ von National Semiconductor";"";"";"";"";"";"";"";"";"";"";"";
"1";"Lüfter";"JST-EH2";"JST-EH2";"ST16";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX3387E";"MAX3387E";"SSOP24";"IC18";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MBRD650CT";"MBRD650CT";"DPACK_3";"D2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MC33269DT3.3";"MC33269DT3.3";"D-PAK";"IC5";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MINI-USB-SHIELD-UX60A-MB-5ST";"MINI-USB-SHIELD-UX60A-MB-5ST";"UX60A-MB-5ST";"ST15";"MINI USB Connector";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"NTR4003NT1G";"MOSFET-NCH-BSS138";"SOT23-3";"Q4";"N-channel MOSFETs";"";"";"";"";"";"";"";"";"";"TRANS-00830";"220mA/50V/3.5O";
"3";"NUD3105";"NUD3105";"SOT23";"IC7, IC14, IC16";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"OC\";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"P82B96TD,118";"P82B96'SO8'";"SO08";"IC15";"I2C Buffer mit separatem RX und TX Ausgang";"";"";"";"";"";"";"";"";"";"";"";
"1";"Power";"180G-2";"180G-2";"ST1";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL1";"180G-3";"180G-3";"ST2";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL2";"180G-3";"180G-3";"ST3";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RL3";"180G-3";"180G-3";"ST4";"WEIDMUELLER CLAMP CONNECTOR";"";"";"";"";"";"unknown";"unknown";"";"";"";"";
"1";"RN112-02/02";"RN112-2/02";"RN112";"L2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ROHS_LOGO";"ROHS_LOGO";"ROHS_LOGO_0.18_IN";"LOGO1";"Restriction of Hazardous Substances (RoHS) Logo";"";"";"";"";"";"";"";"";"";"";"";
"2";"RS484Abschluss";"PINHD-1X2";"1X02";"JP2, JP3";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Reset";"PINHD-1X2";"1X02";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"Rückmeldung";"PINHD-1X6";"1X06";"JP4";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"S10K30";"S10K17";"S10K17";"R53";"VARISTOR";"";"";"";"";"";"";"";"";"";"";"";
"1";"SFH6186-3";"SHF6186-3";"SO-6/4";"IC11";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"SMB15A";"SMB15A";"SMB";"D4, D5, D6, D8";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"SMB27";"SCHOTTKY-DIODESMD";"SMB";"D12";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"3";"SMB6.8";"SCHOTTKY-DIODESMD";"SMB";"D9, D10, D11";"Schottky Diode";"";"";"";"";"";"";"";"";"";"";"";
"1";"STM32F107";"G80_SOC";"LQFP100";"IC1";"The G80 System on Chip (SoC) is a powerful, low cost 100 pin chipset running the .NET Micro Framework (NETMF) technology. It is programmed using Microsoft's Visual Studio using C# or Visual Basic which allows developers to take advantage of the extensive built-in NETMF libraries and our added extensions. There are no additional licensing fees and all development tools and SDKs are included.";"";"";"";"";"";"";"";"";"";"";"";
"1";"TI_SN65HVD3080E";"TI_SN65HVD3080E";"TI_SN65HVD3080E";"IC9";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TME0505S";"TME0505S";"NME";"DC1";"DC-DC CONVERTER";"";"";"";"";"";"";"";"";"";"";"";
"1";"TPS2041B";"TPS2041B";"SOT23-5";"IC2";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"USBLC6-2SC6";"USBLC6-2SC6";"SO23-6L";"IC17";"Very low capacitance ESD protection";"";"";"";"";"";"";"";"";"";"";"";
"1";"VBUS";"LEDCHIPLED_0603";"CHIPLED_0603";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";
